variant_id,pattern_id,category,difficulty,metadata_compiler_fixable,slow_ms_O0,fast_ms_O0,speedup_O0,resistant_O0,slow_ms_O2,fast_ms_O2,speedup_O2,resistant_O2,slow_ms_O3,fast_ms_O3,speedup_O3,resistant_O3,slow_ms_O3_fast_math,fast_ms_O3_fast_math,speedup_O3_fast_math,resistant_O3_fast_math,slow_ms_O3_lto,fast_ms_O3_lto,speedup_O3_lto,resistant_O3_lto
COMP_v021,COMP,Composed,hard,False,670.318,6.319,106.08,True,585.889,1.499,390.85,True,599.272,1.617,370.61,True,583.425,1.71,341.18,True,595.123,1.522,391.01,True
COMP_v022,COMP,Composed,hard,False,12.196,7.308,1.67,False,8.871,0.7,12.67,True,6.834,0.809,8.45,True,6.656,1.545,4.31,True,6.952,1.277,5.44,True
COMP_v023,COMP,Composed,hard,False,22.816,8.253,2.76,True,13.908,1.724,8.07,True,14.892,1.895,7.86,True,14.003,1.828,7.66,True,16.527,1.727,9.57,True
COMP_v024,COMP,Composed,hard,False,262.267,0.972,269.82,True,228.697,0.657,348.09,True,225.889,0.542,416.77,True,209.568,0.072,2910.67,True,234.907,0.622,377.66,True
COMP_v025,COMP,Composed,hard,False,2.149,0.048,44.77,True,0.883,0.007,126.14,True,0.887,0.007,126.71,True,1.025,0.008,128.12,True,0.781,0.005,156.2,True
COMP_v026,COMP,Composed,hard,False,2.82,0.048,58.75,True,0.861,0.004,215.25,True,0.852,0.004,213.0,True,0.853,0.003,284.33,True,0.878,0.003,292.67,True
COMP_v027,COMP,Composed,hard,False,250.897,0.993,252.67,True,240.033,0.592,405.46,True,220.66,0.547,403.4,True,215.096,0.066,3259.03,True,255.439,0.737,346.59,True
COMP_v028,COMP,Composed,hard,False,699.446,6.356,110.04,True,584.101,1.654,353.14,True,645.315,1.693,381.17,True,598.58,1.524,392.77,True,598.144,1.628,367.41,True
COMP_v029,COMP,Composed,hard,False,31.504,9.738,3.24,True,13.472,1.705,7.9,True,13.202,1.781,7.41,True,17.01,1.912,8.9,True,13.696,1.747,7.84,True
COMP_v030,COMP,Composed,hard,False,249.614,0.937,266.4,True,223.887,0.665,336.67,True,232.574,0.636,365.68,True,209.389,0.129,1623.17,True,230.41,0.595,387.24,True
COMP_v031,COMP,Composed,hard,False,27.665,8.829,3.13,True,15.537,1.923,8.08,True,16.216,1.902,8.53,True,13.486,1.817,7.42,True,14.376,1.702,8.45,True
COMP_v032,COMP,Composed,hard,False,22.334,8.267,2.7,True,14.379,1.742,8.25,True,15.522,1.738,8.93,True,14.56,1.679,8.67,True,17.038,1.79,9.52,True
COMP_v033,COMP,Composed,hard,False,697.226,6.859,101.65,True,595.781,1.593,374.0,True,580.146,1.404,413.21,True,620.86,1.541,402.89,True,636.039,1.808,351.79,True
COMP_v034,COMP,Composed,hard,False,725.261,6.074,119.4,True,600.355,1.626,369.22,True,681.768,1.485,459.1,True,614.665,2.606,235.87,True,618.981,1.605,385.66,True
